Feature_1,Feature_2,Correlation,Abs_Correlation
num_equal,max_digits,0.26171303144340824,0.26171303144340824
num_letters,num_params,0.2580256465863183,0.2580256465863183
num_hyphens,path_depth,0.25780135411669064,0.25780135411669064
path_len,ratio_digits,0.25769869364508663,0.25769869364508663
num_special,url_entropy,0.2571043139735115,0.2571043139735115
num_equal,max_consonants,0.25673417555903816,0.25673417555903816
ratio_letters,domain_len,0.2567157721791986,0.2567157721791986
num_hyphens,num_slashes,0.2537770584781804,0.2537770584781804
num_letters,num_slashes,0.24874060849991853,0.24874060849991853
num_dots,num_percent,0.24666688954554636,0.24666688954554636
num_dots,path_depth,0.2456029605057875,0.2456029605057875
http_no_brand_no_age,label,0.2424874000271497,0.2424874000271497
path_len,num_digits,0.24116013959753038,0.24116013959753038
num_dots,label,0.24078781648857434,0.24078781648857434
num_dots,max_digits,0.24012923396466512,0.24012923396466512
num_hyphens,num_subdirs,0.23979098726504552,0.23979098726504552
num_qmark,num_special,0.23574988262811336,0.23574988262811336
num_amp,num_letters,0.23572578259714086,0.23572578259714086
url_len,path_depth,0.23501802540963365,0.23501802540963365
num_equal,num_slashes,0.23442767813178225,0.23442767813178225
path_len,https_flag,-0.23352431635439685,0.23352431635439685
url_len,num_percent,0.23331706715920214,0.23331706715920214
num_params,max_consonants,0.2332431261881234,0.2332431261881234
num_underscores,num_equal,0.23281451883354687,0.23281451883354687
num_dots,num_subdirs,0.23146644721254322,0.23146644721254322
url_len,num_subdirs,0.22922921949852923,0.22922921949852923
num_amp,max_digits,0.22849782274757166,0.22849782274757166
ratio_letters,leet_in_domain,-0.22774300559510827,0.22774300559510827
url_entropy,max_consonants,0.22639877418287793,0.22639877418287793
url_len,max_consonants,0.22611971461328734,0.22611971461328734
num_equal,num_percent,0.22610832274252327,0.22610832274252327
num_slashes,num_params,0.22444869306291684,0.22444869306291684
max_digits,abnormal_subdomain,0.22342042467751783,0.22342042467751783
path_len,num_dots,0.22291622673992895,0.22291622673992895
num_digits,max_consonants,0.22063861189281347,0.22063861189281347
num_underscores,url_entropy,0.22053503449222994,0.22053503449222994
num_dots,num_letters,0.2183352974534182,0.2183352974534182
num_digits,num_slashes,0.21719939187601184,0.21719939187601184
num_letters,max_consonants,0.21440840098405392,0.21440840098405392
ratio_digits,leet_in_domain,0.21323020370229248,0.21323020370229248
num_underscores,num_params,0.2130225196530281,0.2130225196530281
num_dots,ratio_digits,0.21271078525193396,0.21271078525193396
num_params,ratio_digits,0.21245892333195668,0.21245892333195668
num_slashes,ratio_digits,0.21203024819978208,0.21203024819978208
max_digits,max_domain_digits,0.2120264933465206,0.2120264933465206
subdomain_parts,max_consonants,0.21187444343510775,0.21187444343510775
sus_words,label,0.2114063210870441,0.2114063210870441
num_amp,num_percent,0.21094677608719267,0.21094677608719267
num_percent,num_params,0.21031450360781526,0.21031450360781526
num_letters,path_depth,0.20884661945163638,0.20884661945163638
subdomain_parts,leet_speak_score,0.20694879018531115,0.20694879018531115
num_equal,ratio_digits,0.20660095785459207,0.20660095785459207
num_underscores,num_repeating,0.20623137150640458,0.20623137150640458
url_len,num_hyphens,0.20523549803592364,0.20523549803592364
ratio_digits,path_depth,0.20423600883956847,0.20423600883956847
subdomain_parts,abnormal_subdomain,0.2041178238584409,0.2041178238584409
num_letters,num_subdirs,0.20406301424803278,0.20406301424803278
num_underscores,num_amp,0.20372744260538048,0.20372744260538048
https_flag,http_no_brand_no_age,-0.20264197147798182,0.20264197147798182
max_digits,domain_digit_ratio,0.20234793287242292,0.20234793287242292
path_len,num_equal,0.20139015458397616,0.20139015458397616
subdomain_parts,https_flag,0.19929666173123362,0.19929666173123362
url_len,max_digits,0.19903535122633353,0.19903535122633353
url_entropy,label,0.1975920573845763,0.1975920573845763
num_amp,max_consonants,0.19584909359435657,0.19584909359435657
domain_digit_ratio,abnormal_subdomain,0.1929031297489913,0.1929031297489913
risky_tld,label,0.19215467798545086,0.19215467798545086
num_qmark,num_digits,0.19129258601347848,0.19129258601347848
subdomain_parts,domain_len,-0.1905258425834073,0.1905258425834073
num_qmark,num_slashes,0.18699859600791507,0.18699859600791507
num_dots,num_at,0.18688655237093083,0.18688655237093083
url_len,num_underscores,0.18483801706415753,0.18483801706415753
num_subdirs,ratio_digits,0.18479858220267154,0.18479858220267154
leet_in_domain,leet_brand_score,0.18261442824491175,0.18261442824491175
url_entropy,max_vowels,0.18185475106143117,0.18185475106143117
num_amp,num_slashes,0.18102955342405794,0.18102955342405794
